省市,累计确诊,当前确诊
湖北,67781,14427
广东,1356,59
河南,1273,2
浙江,1215,17
湖南,1018,16
安徽,990,0
江西,935,0
山东,760,20
江苏,631,2
重庆,576,16
四川,30000,42
黑龙江,482,29
北京,435,93
上海,344,20
河北,318,5
福建,296,0
广西,252,9
陕西,245,11
云南,174,2
海南,168,2
贵州,146,7
天津,136,1
山西,133,2
香港,130,60
甘肃,127,37
辽宁,125,13
吉林,93,1
新疆,76,0
内蒙古,75,3
宁夏,75,3
台湾,49,31
青海,18,0
澳门,10,0
西藏,1,0
